File Path,N,K,Iteration,CPU Time,Parallel Time,CPU Hull Size,Parallel Hull Size
./Testcases/Gaussian/points_gaussian_20000000.txt,20000000,256,4,302,44.2823,19,19
./Testcases/Gaussian/points_gaussian_20000000.txt,20000000,512,4,302,59.4488,19,19
./Testcases/Circle/points_circle_20000000.txt,20000000,128,5,954,46.5995,731,753
./Testcases/Circle/points_circle_20000000.txt,20000000,256,5,954,66.4757,731,734
./Testcases/Circle/points_circle_20000000.txt,20000000,512,5,954,130.62,731,731
./Testcases/Uniform/points_uniform_20000000.txt,20000000,128,5,2758,35.3182,39,48
./Testcases/Uniform/points_uniform_20000000.txt,20000000,256,5,2758,44.6507,39,42
./Testcases/Uniform/points_uniform_20000000.txt,20000000,512,5,2758,59.7424,39,39
./Testcases/Gaussian/points_gaussian_20000000.txt,20000000,128,5,302,35.8505,19,19
./Testcases/Gaussian/points_gaussian_20000000.txt,20000000,256,5,302,43.9814,19,19
./Testcases/Gaussian/points_gaussian_20000000.txt,20000000,512,5,302,59.5382,19,19
./Testcases/Circle/points_circle_50000000.txt,50000000,128,1,2652,109.519,981,1064
./Testcases/Circle/points_circle_50000000.txt,50000000,256,1,2652,158.77,981,995
./Testcases/Circle/points_circle_50000000.txt,50000000,512,1,2652,326.916,981,984
./Testcases/Uniform/points_uniform_50000000.txt,50000000,128,1,8016,81.2006,26,34
./Testcases/Uniform/points_uniform_50000000.txt,50000000,256,1,8016,101.477,26,35
./Testcases/Uniform/points_uniform_50000000.txt,50000000,512,1,8016,143.831,26,26
./Testcases/Gaussian/points_gaussian_50000000.txt,50000000,128,1,567,81.6436,18,18
./Testcases/Gaussian/points_gaussian_50000000.txt,50000000,256,1,567,101.666,18,18
./Testcases/Gaussian/points_gaussian_50000000.txt,50000000,512,1,567,144.207,18,18
./Testcases/Circle/points_circle_50000000.txt,50000000,128,2,2658,108.02,981,1064
./Testcases/Circle/points_circle_50000000.txt,50000000,256,2,2658,161.44,981,995
./Testcases/Circle/points_circle_50000000.txt,50000000,512,2,2658,326.754,981,984
./Testcases/Uniform/points_uniform_50000000.txt,50000000,128,2,8028,80.6303,26,34
./Testcases/Uniform/points_uniform_50000000.txt,50000000,256,2,8028,102.232,26,34
./Testcases/Uniform/points_uniform_50000000.txt,50000000,512,2,8028,145.621,26,31
./Testcases/Gaussian/points_gaussian_50000000.txt,50000000,128,2,569,80.9034,18,18
./Testcases/Gaussian/points_gaussian_50000000.txt,50000000,256,2,569,101.907,18,18
./Testcases/Gaussian/points_gaussian_50000000.txt,50000000,512,2,569,144.557,18,18
./Testcases/Circle/points_circle_50000000.txt,50000000,128,3,2648,108.141,981,1064
./Testcases/Circle/points_circle_50000000.txt,50000000,256,3,2648,164.355,981,995
./Testcases/Circle/points_circle_50000000.txt,50000000,512,3,2648,324.003,981,984
./Testcases/Uniform/points_uniform_50000000.txt,50000000,128,3,8040,82.2474,26,34
./Testcases/Uniform/points_uniform_50000000.txt,50000000,256,3,8040,102.83,26,34
./Testcases/Uniform/points_uniform_50000000.txt,50000000,512,3,8040,146.746,26,26
./Testcases/Gaussian/points_gaussian_50000000.txt,50000000,128,3,568,81.5772,18,18
./Testcases/Gaussian/points_gaussian_50000000.txt,50000000,256,3,568,102.447,18,18
./Testcases/Gaussian/points_gaussian_50000000.txt,50000000,512,3,568,143.883,18,18
./Testcases/Circle/points_circle_50000000.txt,50000000,128,4,2648,109.24,981,1064
./Testcases/Circle/points_circle_50000000.txt,50000000,256,4,2648,159.87,981,995
./Testcases/Circle/points_circle_50000000.txt,50000000,512,4,2648,329.076,981,984
./Testcases/Uniform/points_uniform_50000000.txt,50000000,128,4,8029,81.4305,26,34
./Testcases/Uniform/points_uniform_50000000.txt,50000000,256,4,8029,102.92,26,34
./Testcases/Uniform/points_uniform_50000000.txt,50000000,512,4,8029,145.816,26,26
./Testcases/Gaussian/points_gaussian_50000000.txt,50000000,128,4,568,81.6052,18,18
./Testcases/Gaussian/points_gaussian_50000000.txt,50000000,256,4,568,101.955,18,18
./Testcases/Gaussian/points_gaussian_50000000.txt,50000000,512,4,568,143.19,18,18
./Testcases/Circle/points_circle_50000000.txt,50000000,128,5,2649,109.383,981,1064
./Testcases/Circle/points_circle_50000000.txt,50000000,256,5,2649,158.783,981,995
./Testcases/Circle/points_circle_50000000.txt,50000000,512,5,2649,325.857,981,984
./Testcases/Uniform/points_uniform_50000000.txt,50000000,128,5,8017,81.1556,26,34
./Testcases/Uniform/points_uniform_50000000.txt,50000000,256,5,8017,102.661,26,34
./Testcases/Uniform/points_uniform_50000000.txt,50000000,512,5,8017,145.913,26,26
./Testcases/Gaussian/points_gaussian_50000000.txt,50000000,128,5,570,81.2032,18,18
./Testcases/Gaussian/points_gaussian_50000000.txt,50000000,256,5,570,101.979,18,18
./Testcases/Gaussian/points_gaussian_50000000.txt,50000000,512,5,570,143.557,18,18
./Testcases/Circle/points_circle_100000000.txt,100000000,128,1,5167,228.131,1215,1414
./Testcases/Circle/points_circle_100000000.txt,100000000,256,1,5167,350.658,1215,1239
./Testcases/Circle/points_circle_100000000.txt,100000000,512,1,5167,697.756,1215,1218
./Testcases/Uniform/points_uniform_100000000.txt,100000000,128,1,17353,164.975,28,39
./Testcases/Uniform/points_uniform_100000000.txt,100000000,256,1,17353,209.378,28,28
./Testcases/Uniform/points_uniform_100000000.txt,100000000,512,1,17353,319.253,28,28
./Testcases/Gaussian/points_gaussian_100000000.txt,100000000,128,1,1887,165.808,20,20
./Testcases/Gaussian/points_gaussian_100000000.txt,100000000,256,1,1887,213.238,20,20
./Testcases/Gaussian/points_gaussian_100000000.txt,100000000,512,1,1887,321.019,20,20
./Testcases/Circle/points_circle_100000000.txt,100000000,128,2,5163,222.133,1215,1414
./Testcases/Circle/points_circle_100000000.txt,100000000,256,2,5163,335.258,1215,1239
./Testcases/Circle/points_circle_100000000.txt,100000000,512,2,5163,693.399,1215,1218
./Testcases/Uniform/points_uniform_100000000.txt,100000000,128,2,17397,166.521,28,44
./Testcases/Uniform/points_uniform_100000000.txt,100000000,256,2,17397,211.082,28,28
./Testcases/Uniform/points_uniform_100000000.txt,100000000,512,2,17397,325.403,28,28
./Testcases/Gaussian/points_gaussian_100000000.txt,100000000,128,2,1884,168.391,20,20
./Testcases/Gaussian/points_gaussian_100000000.txt,100000000,256,2,1884,210.19,20,20
./Testcases/Gaussian/points_gaussian_100000000.txt,100000000,512,2,1884,318.994,20,20
./Testcases/Circle/points_circle_100000000.txt,100000000,128,3,5166,224.56,1215,1414
./Testcases/Circle/points_circle_100000000.txt,100000000,256,3,5166,339.872,1215,1239
./Testcases/Circle/points_circle_100000000.txt,100000000,512,3,5166,711.081,1215,1218
./Testcases/Uniform/points_uniform_100000000.txt,100000000,128,3,17405,164.856,28,39
./Testcases/Uniform/points_uniform_100000000.txt,100000000,256,3,17405,208.961,28,28
./Testcases/Uniform/points_uniform_100000000.txt,100000000,512,3,17405,310.023,28,28
./Testcases/Gaussian/points_gaussian_100000000.txt,100000000,128,3,1882,164.98,20,20
./Testcases/Gaussian/points_gaussian_100000000.txt,100000000,256,3,1882,212.503,20,20
